"speaker","word","target_child_age_months","speech_act","corpus_id","target_child_id","count","total","rel_freq","ppt"
"child","and",21,"declarative",51,3810,2,864,0.00231481481481481,2.31481481481481
"child","and",21,"declarative",64,4709,26,2373,0.0109565950273915,10.9565950273915
"child","and",21,"declarative",65,4722,1,517,0.00193423597678917,1.93423597678917
"child","and",21,"declarative",68,5016,1,218,0.00458715596330275,4.58715596330275
"child","and",21,"declarative",68,5040,2,507,0.00394477317554241,3.94477317554241
"child","and",21,"declarative",75,5193,1,842,0.00118764845605701,1.18764845605701
"child","and",21,"declarative",184,14520,2,287,0.00696864111498258,6.96864111498258
"child","and",21,"declarative",184,14532,1,124,0.00806451612903226,8.06451612903226
"child","and",21,"declarative",184,14748,2,96,0.0208333333333333,20.8333333333333
"child","and",21,"declarative",184,14784,1,237,0.00421940928270042,4.21940928270042
"child","and",21,"declarative",187,14982,119,4902,0.0242758057935537,24.2758057935537
"child","and",21,"imperative",51,3774,3,17,0.176470588235294,176.470588235294
"child","and",21,"imperative",51,3789,1,164,0.00609756097560976,6.09756097560976
"child","and",21,"imperative",64,4709,1,67,0.0149253731343284,14.9253731343284
"child","and",21,"imperative",184,14671,1,4,0.25,250
"child","and",21,"other",39,3136,1,30,0.0333333333333333,33.3333333333333
"child","and",21,"other",51,3764,1,17,0.0588235294117647,58.8235294117647
"child","and",21,"other",51,3774,1,5,0.2,200
"child","and",21,"other",51,3789,3,277,0.0108303249097473,10.8303249097473
"child","and",21,"other",64,4709,1,38,0.0263157894736842,26.3157894736842
"child","and",21,"other",182,14375,5,313,0.0159744408945687,15.9744408945687
"child","and",21,"other",187,14982,12,54,0.222222222222222,222.222222222222
"child","and",21,"question",49,3384,1,79,0.0126582278481013,12.6582278481013
"child","and",21,"question",51,3764,3,293,0.0102389078498294,10.2389078498294
"child","and",21,"question",51,3789,9,980,0.00918367346938776,9.18367346938776
"child","and",21,"question",64,4709,2,194,0.0103092783505155,10.3092783505155
"child","and",21,"question",187,14982,2,913,0.00219058050383352,2.19058050383352
"child","and",22,"declarative",33,2727,1,458,0.00218340611353712,2.18340611353712
"child","and",22,"declarative",38,3088,13,2755,0.00471869328493648,4.71869328493648
"child","and",22,"declarative",39,3136,65,1623,0.0400492914356131,40.0492914356131
"child","and",22,"declarative",49,3384,8,687,0.0116448326055313,11.6448326055313
"child","and",22,"declarative",49,3386,2,504,0.00396825396825397,3.96825396825397
"child","and",22,"declarative",49,3395,1,322,0.0031055900621118,3.1055900621118
"child","and",22,"declarative",51,3764,19,2190,0.00867579908675799,8.67579908675799
"child","and",22,"declarative",51,3774,96,2118,0.0453257790368272,45.3257790368272
"child","and",22,"declarative",51,3789,47,5527,0.008503709064592,8.503709064592
"child","and",22,"declarative",51,3801,4,1026,0.00389863547758285,3.89863547758285
"child","and",22,"declarative",57,4084,6,3230,0.00185758513931889,1.85758513931889
"child","and",22,"declarative",64,4709,6,1069,0.00561272217025257,5.61272217025257
"child","and",22,"declarative",65,4726,2,363,0.00550964187327824,5.50964187327824
"child","and",22,"declarative",75,5193,5,1538,0.00325097529258778,3.25097529258778
"child","and",22,"declarative",75,5204,2,1862,0.00107411385606874,1.07411385606874
"child","and",22,"declarative",187,14970,2,1591,0.00125707102451289,1.25707102451289
"child","and",22,"declarative",187,14982,5,1029,0.00485908649173955,4.85908649173955
"child","and",22,"declarative",187,15033,7,2493,0.00280786201363819,2.80786201363819
"child","and",22,"declarative",190,15110,2,1486,0.00134589502018843,1.34589502018843
"child","and",22,"imperative",39,3136,4,57,0.0701754385964912,70.1754385964912
"child","and",22,"imperative",51,3764,2,35,0.0571428571428571,57.1428571428571
"child","and",22,"other",39,3136,10,156,0.0641025641025641,64.1025641025641
"child","and",22,"other",51,3764,2,66,0.0303030303030303,30.3030303030303
"child","and",22,"other",51,3774,7,50,0.14,140
"child","and",22,"other",51,3789,1,64,0.015625,15.625
"child","and",22,"other",51,3801,2,74,0.027027027027027,27.027027027027
"child","and",22,"other",182,14375,2,435,0.00459770114942529,4.59770114942529
"child","and",22,"question",39,3136,2,75,0.0266666666666667,26.6666666666667
"child","and",22,"question",51,3764,6,372,0.0161290322580645,16.1290322580645
"child","and",22,"question",51,3789,2,978,0.00204498977505112,2.04498977505112
"child","and",23,"declarative",38,3088,20,2952,0.00677506775067751,6.77506775067751
"child","and",23,"declarative",39,3136,110,1891,0.0581702802749868,58.1702802749868
"child","and",23,"declarative",46,3291,3,2064,0.00145348837209302,1.45348837209302
"child","and",23,"declarative",46,3318,1,414,0.00241545893719807,2.41545893719807
"child","and",23,"declarative",49,3384,11,736,0.014945652173913,14.945652173913
"child","and",23,"declarative",49,3386,4,785,0.00509554140127389,5.09554140127389
"child","and",23,"declarative",49,3395,3,353,0.0084985835694051,8.4985835694051
"child","and",23,"declarative",51,3748,1,1249,0.000800640512409928,0.800640512409928
"child","and",23,"declarative",51,3764,17,1382,0.012301013024602,12.301013024602
"child","and",23,"declarative",51,3774,112,2239,0.0500223313979455,50.0223313979455
"child","and",23,"declarative",51,3789,46,3525,0.0130496453900709,13.0496453900709
"child","and",23,"declarative",51,3801,5,1121,0.00446030330062444,4.46030330062444
"child","and",23,"declarative",52,3825,3,281,0.0106761565836299,10.6761565836299
"child","and",23,"declarative",55,3972,3,405,0.00740740740740741,7.40740740740741
"child","and",23,"declarative",57,4084,8,3307,0.00241911097671606,2.41911097671606
"child","and",23,"declarative",65,4722,4,438,0.0091324200913242,9.1324200913242
"child","and",23,"declarative",65,4726,3,752,0.00398936170212766,3.98936170212766
"child","and",23,"declarative",69,5054,5,4028,0.00124131082423039,1.24131082423039
"child","and",23,"declarative",75,5193,18,2204,0.00816696914700544,8.16696914700544
"child","and",23,"declarative",75,5204,8,2347,0.0034086067319983,3.4086067319983
"child","and",23,"declarative",78,5241,4,2535,0.00157790927021696,1.57790927021696
"child","and",23,"declarative",184,14449,7,676,0.0103550295857988,10.3550295857988
"child","and",23,"declarative",184,14520,3,423,0.00709219858156028,7.09219858156028
"child","and",23,"declarative",184,14608,4,565,0.00707964601769911,7.07964601769912
"child","and",23,"declarative",184,14640,1,73,0.0136986301369863,13.6986301369863
"child","and",23,"declarative",184,14698,1,133,0.0075187969924812,7.5187969924812
"child","and",23,"declarative",184,14784,1,163,0.00613496932515337,6.13496932515337
"child","and",23,"declarative",187,14970,10,3917,0.00255297421496043,2.55297421496043
"child","and",23,"declarative",187,14982,177,6459,0.0274036228518347,27.4036228518347
"child","and",23,"declarative",187,14990,2,1987,0.00100654252642174,1.00654252642174
"child","and",23,"declarative",187,14996,6,708,0.00847457627118644,8.47457627118644
"child","and",23,"declarative",187,15001,13,2067,0.00628930817610063,6.28930817610063
"child","and",23,"declarative",187,15008,5,1799,0.00277932184546971,2.77932184546971
"child","and",23,"declarative",187,15014,12,1359,0.00883002207505519,8.83002207505519
"child","and",23,"declarative",187,15027,4,1346,0.00297176820208024,2.97176820208024
"child","and",23,"declarative",187,15033,5,2095,0.00238663484486874,2.38663484486874
"child","and",23,"declarative",190,15110,39,3003,0.012987012987013,12.987012987013
"child","and",23,"imperative",39,3136,5,136,0.0367647058823529,36.7647058823529
"child","and",23,"imperative",46,3291,1,291,0.00343642611683849,3.43642611683849
"child","and",23,"imperative",51,3764,3,182,0.0164835164835165,16.4835164835165
"child","and",23,"imperative",51,3789,1,198,0.00505050505050505,5.05050505050505
"child","and",23,"other",39,3136,3,39,0.0769230769230769,76.9230769230769
"child","and",23,"other",46,3291,2,71,0.028169014084507,28.169014084507
"child","and",23,"other",51,3764,2,123,0.016260162601626,16.260162601626
"child","and",23,"other",51,3789,2,246,0.00813008130081301,8.13008130081301
"child","and",23,"other",182,14375,2,185,0.0108108108108108,10.8108108108108
"child","and",23,"other",184,14608,1,16,0.0625,62.5
"child","and",23,"other",187,14982,7,13,0.538461538461538,538.461538461538
"child","and",23,"question",38,3088,1,337,0.0029673590504451,2.9673590504451
"child","and",23,"question",39,3136,1,94,0.0106382978723404,10.6382978723404
"child","and",23,"question",46,3291,3,1719,0.00174520069808028,1.74520069808028
"child","and",23,"question",51,3764,1,305,0.00327868852459016,3.27868852459016
"child","and",23,"question",65,4726,1,151,0.00662251655629139,6.62251655629139
"child","and",23,"question",75,5193,1,233,0.00429184549356223,4.29184549356223
"child","and",23,"question",184,14449,3,254,0.0118110236220472,11.8110236220472
"child","and",23,"question",187,14982,4,829,0.00482509047044632,4.82509047044632
"child","and",23,"question",187,15008,1,60,0.0166666666666667,16.6666666666667
"child","and",24,"declarative",38,3088,31,2553,0.0121425773599687,12.1425773599687
"child","and",24,"declarative",39,3136,141,3554,0.0396736072031514,39.6736072031514
