"word","speech_act","speaker","count","total","rel_freq","lower","upper","connective_pct","upper_pct","lower_pct"
"and","declarative","child",63994,78443,0.815802557270885,0.813071799977859,0.818509938116958,81.5802557270885,81.8509938116958,81.3071799977859
"and","declarative","parent",111900,169269,0.661077929213264,0.658817288171064,0.663333052235723,66.1077929213264,66.3333052235723,65.8817288171064
"and","imperative","child",1668,78443,0.0212638476345882,0.0202656656838421,0.0222976517223018,2.12638476345882,2.22976517223018,2.02656656838421
"and","imperative","parent",1539,169269,0.00909203693529234,0.00864533128355438,0.00955567539487467,0.909203693529234,0.955567539487467,0.864533128355438
"and","other","child",6243,78443,0.0795864513085935,0.0777016406276027,0.0815024236764068,7.95864513085935,8.15024236764068,7.77016406276027
"and","other","parent",12317,169269,0.072765834263805,0.071532782678751,0.074013542383553,7.27658342638049,7.4013542383553,7.1532782678751
"and","question","child",6538,78443,0.0833471437859337,0.0814219258919465,0.0853032417701379,8.33471437859337,8.53032417701379,8.14219258919465
"and","question","parent",43513,169269,0.257064199587639,0.254983539280373,0.259153183304993,25.7064199587639,25.9153183304993,25.4983539280373
"or","declarative","child",1635,2590,0.631274131274131,0.612360437260937,0.64989057219199,63.1274131274131,64.989057219199,61.2360437260937
"or","declarative","parent",6846,15971,0.428651931626072,0.420959090694876,0.436370769675299,42.8651931626072,43.6370769675299,42.0959090694876
"or","imperative","child",30,2590,0.0115830115830116,0.00782827910660089,0.0164944784699705,1.15830115830116,1.64944784699705,0.782827910660089
"or","imperative","parent",43,15971,0.00269237993863878,0.00194915305721222,0.00362492348324517,0.269237993863878,0.362492348324517,0.194915305721222
"or","other","child",144,2590,0.0555984555984556,0.0470871397703668,0.0651308945737056,5.55984555984556,6.51308945737056,4.70871397703668
"or","other","parent",889,15971,0.0556633898941832,0.0521575262199382,0.0593321591947007,5.56633898941832,5.93321591947007,5.21575262199382
"or","question","child",781,2590,0.301544401544402,0.28390949814879,0.319628991161594,30.1544401544402,31.9628991161594,28.390949814879
"or","question","parent",8193,15971,0.512992298541106,0.505207367595676,0.520772495729834,51.2992298541106,52.0772495729834,50.5207367595676
"other","declarative","child",3668641,4600023,0.79752666454059,0.797159150086019,0.797893804444358,79.752666454059,79.7893804444358,79.7159150086019
"other","declarative","parent",5529103,9293313,0.594954996135393,0.594639298614538,0.595270634497381,59.4954996135393,59.5270634497381,59.4639298614538
"other","imperative","child",112102,4600023,0.0243698781506092,0.0242291603158247,0.0245111951247673,2.43698781506092,2.45111951247673,2.42291603158247
"other","imperative","parent",108213,9293313,0.0116441789919268,0.0115753051769446,0.0117133573083641,1.16441789919268,1.17133573083641,1.15753051769446
"other","other","child",148169,4600023,0.0322104911214574,0.0320493312683668,0.032372240161018,3.22104911214574,3.2372240161018,3.20493312683668
"other","other","parent",305435,9293313,0.0328661049079053,0.0327515714078809,0.0329809295571112,3.28661049079053,3.29809295571112,3.27515714078809
"other","question","child",671111,4600023,0.145892966187343,0.145570497478026,0.146215880699657,14.5892966187343,14.6215880699657,14.5570497478026
"other","question","parent",3350562,9293313,0.360534719964775,0.360226003809577,0.36084352301008,36.0534719964775,36.084352301008,36.0226003809577
