"speech_act","speaker","utterance_count","total_utterance_count","utteranceType_relFreq","utteranceType_ppc"
"declarative","child",1497189,1790970,0.835965426556559,83.5965426556559
"declarative","parent",1361617,2139425,0.636440632412915,63.6440632412915
"imperative","child",48569,1790970,0.0271188238775636,2.71188238775636
"imperative","parent",39998,2139425,0.018695677576919,1.8695677576919
"other","child",49255,1790970,0.0275018565358437,2.75018565358437
"other","parent",71656,2139425,0.0334931114668661,3.34931114668661
"question","child",195957,1790970,0.109413893030034,10.9413893030034
"question","parent",666154,2139425,0.3113705785433,31.13705785433
